"Company SKU Code","Barcode","Product Name","short_description","description","Category","SubCategory","Brand","MRP","IGST","SGST","CGST","Minimum Quantity Customer","","","",""
"EBLEN03J07","","FORTUNE VIVO BLENDED OIL 4 X 5L JAR","Fortune Vivo Blended Oil 5 Ltr Jar","Fortune Vivo Blended Oil 5 Ltr Jar","Oil","Vivo","Fortune","450","18","9","9","1","","","",""
"EBLEN03P03V2","","FORTUNE VIVO POUCH 12X1 LT Pch","Fortune Vivo Blended Oil 1 Ltr Pch","Fortune Vivo Blended Oil 1 Ltr Pch","Oil","Cotton","Fortune","500","10","5","5","1","","","",""
"ERCSO01E03","","FORTUNE REF COTTON OIL 12 X 1 LT PET","Fortune Refined Cotton Oil 1 Ltr Pet","Fortune Refined Cotton Oil 1 Ltr Pet","Oil","Cotton","Fortune","550","18","9","9","1","","","",""
"ERCSO01J07","","FORTUNE REF COTTON OIL 4 X 5 LT JAR","Fortune Refined Cotton Oil 5 Ltr Jar","Fortune Refined Cotton Oil 5 Ltr Jar","Oil","Cotton","Fortune","600","18","9","9","1","","","",""
"ERCSO01J08","","FORTUNE REF COTTON OIL 15 LT JAR","Fortune Refined Cotton Oil 15 Ltr Jar","Fortune Refined Cotton Oil 15 Ltr Jar","Oil","Cotton","Fortune","650","18","9","9","1","","","",""
"ERCSO01P03","","FORTUNE REF COTTON OIL 12 X 1 LT PCH","Fortune Refined Cotton Oil 1 Ltr Pch","Fortune Refined Cotton Oil 1 Ltr Pch","Oil","Cotton","Fortune","700","10","5","5","1","","","",""
"ERCSO01T08","","FORTUNE REF COTTON OIL 15 LT TIN","Fortune Refined Cotton Oil 15 Ltr Tin","Fortune Refined Cotton Oil 15 Ltr Tin","Oil","Soya","Fortune","750","18","9","9","1","","","",""
"ERSBO01E03","","FORTUNE REF SOYA OIL 12 X 1 LT PET","Fortune Refined Soya Oil 1 Ltr Pet","Fortune Refined Soya Oil 1 Ltr Pet","Oil","Soya","Fortune","800","18","9","9","1","","","",""
"ERSBO01J07","","FORTUNE REF SOYA OIL 4 X 5 LT JAR","Fortune Refined Soya Oil 5 Ltr Jar","Fortune Refined Soya Oil 5 Ltr Jar","Oil","Soya","Fortune","850","18","9","9","1","","","",""
"ERSBO01J08","","FORTUNE REF SOYA OIL 15 LT JAR","Fortune Refined Soya Oil 15 Ltr Jar","Fortune Refined Soya Oil 15 Ltr Jar","Oil","Soya","Fortune","900","10","5","5","1","","","",""
"ERSBO01P03V2","","FORTUNE REF SOYA OIL 16 X 1 LT PCH","Fortune Refined Soya Oil 1 Ltr Pch","Fortune Refined Soya Oil 1 Ltr Pch","Oil","Soya","Fortune","950","18","9","9","1","","","",""
"ERSBO01T08","","FORTUNE REF SOYA OIL 15 LT TIN","Fortune Refined Soya Oil 15 Ltr Tin","Fortune Refined Soya Oil 15 Ltr Tin","Oil","Vanaspati","Raag","1000","18","9","9","1","","","",""
"EVANA16J07","","RAAG VANASPATI 4 X 5 LT JAR","Raag Vanaspati Oil 5 Ltr Jar","Raag Vanaspati Oil 5 Ltr Jar","Oil","Vanaspati","Raag","1050","18","9","9","1","","","",""
"EVANA16J08","","RAAG VANASPATI 15 LT JAR","Raag Vanaspati Oil 15 Ltr Jar","Raag Vanaspati Oil 15 Ltr Jar","Oil","Vanaspati","Raag","1100","10","5","5","1","","","",""
"EVANA16P03","","RAAG VANASPATI 16 X 1 LTR PCH","Raag Vanaspati Oil 1 Ltr Pch","Raag Vanaspati Oil 1 Ltr Pch","Oil","Vanaspati","Raag","1150","18","9","9","1","","","",""
"EVANA17J08","","AVSAR VANASPATI 15 LTR JAR","Avsar Vanaspati Oil 15 Ltr Jar","Avsar Vanaspati Oil 15 Ltr Jar","Oil","Vanaspati","Avsar","1200","18","9","9","1","","","",""
"EVANA17P03","","AVSAR VANASPATI 16 X 1 LTR PCH","Avsar Vanaspati Oil 1 Ltr Pch","Avsar Vanaspati Oil 1 Ltr Pch","Food","Atta","Fortune","1250","18","9","9","1","","","",""
"FATTA5091B09E","","FORTUNE CHAKKI FRESH ATTA 4 X 5 KG","Fortune Atta  5 Kg","Fortune Atta  5 Kg","Food","Atta","Fortune","1300","10","5","5","1","","","",""
"FATTA5091P07N1N","","FORTUNE REGULAR CHAKKI ATTA 30X1KGN1N","Fortune Atta  1 Kg","Fortune Atta  1 Kg","Food","Besan","Fortune","1350","18","9","9","1","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
